Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
1241,Beni,Mercado,EL MERCADO DE LAS PULGAS,,,-14.83471,-64.903362,geobo
1242,Beni,Mercado,MERCADO 26 DE JULIO,,,-14.838198,-64.915429,geobo
1243,Beni,Mercado,MERCADO 30 DE JULIO SIN UTILIZAR.,,,-14.806752,-64.906868,geobo
1244,Beni,Mercado,MERCADO EL TAJIBITO,,,-14.837781,-64.900964,geobo
1245,Beni,Mercado,MERCADO FATIMA,,,-14.834495,-64.894001,geobo
1246,Beni,Mercado,MERCADO LOS MENUDOS,,,-14.838527,-64.899134,geobo
1247,Beni,Mercado,MERCADO MIAMI,,,-14.839781,-64.904587,geobo
1248,Beni,Mercado,MERCADO MUNICIPAL BELLO HORIZONTE,,,-14.812041,-64.885889,geobo
1249,Beni,Mercado,MERCADO PAITITI,,,-14.824703,-64.887555,geobo
1250,Beni,Mercado,MERCADO POMPEYA,,,-14.839506,-64.900233,geobo
1251,Beni,Mercado,MERCADO SAN VICENTE,,,-14.832279,-64.909109,geobo
1252,Beni,Mercado,MERCADO SECCInaL,,,-14.833227,-64.902203,geobo
1253,Beni,Mercado,NUEVO MERCADO 13 DE ABRIL,,,-14.834129,-64.88788,geobo
1254,Beni,Mercado,MERCADO CENTRAL RURREnaBAQUE,,,-14.441568,-67.528529,geobo
1255,Beni,Mercado,MERCADO DE RURREnaBAQUE,,,-14.430046,-67.504601,geobo
1256,Beni,Mercado,MERCADO CAMPESINO PRIMERO DE MAYO,,,-14.862765,-66.749619,geobo
1257,Beni,Mercado,MERCADO CENTRAL LA PAZ,,,-14.8606,-66.746196,geobo
1258,Beni,Mercado,MERCADO SANTA MARIA MAGDALEna,,,-13.260531,-64.054679,geobo
1259,Beni,Mercado,MERCADO CAMPESINO,,,-14.99325,-65.636371,geobo
1260,Beni,Mercado,MERCADO CENTRAL,,,-14.996196,-65.640043,geobo
1261,Beni,Mercado,MERCADO SANTA FE,,,-14.999706,-65.644056,geobo
1262,Beni,Mercado,MERCADO CAMPESINO,,,-10.822459,-65.354893,geobo
1263,Beni,Mercado,MERCADO CENTRAL GUAYARAMERIN,,,-10.817612,-65.353601,geobo
1264,Beni,Mercado,MERCADO LOS ALMENDROS,,,-10.832585,-65.347465,geobo
1265,Beni,Mercado,MERCADO 3 DE FEBRERO,,,-11.00393,-66.0565,geobo
1266,Beni,Mercado,MERCADO LAS MERCEDEZ,,,-10.998407,-66.034914,geobo
1267,Beni,Mercado,MERCADO SAN JOSE,,,-11.000263,-66.064713,geobo
1268,Beni,Mercado,MERCADO CAMPESINO ALONSO HUMAZA  TABABARI,,,-13.738694,-65.423239,geobo
1269,Beni,Mercado,MERCADO DE SANTA Ana,,,-13.743833,-65.427109,geobo
1270,Beni,Mercado,MERCADO VEINTISEIS DE JULIO,,,-13.739336,-65.421892,geobo
1271,Cochabamba,Mercado,MERCADO CENTAL DE ARANI,,,-17573450,-65771911,geobo
1272,Cochabamba,Mercado,MERCADO CENTRAL AIQUILE,,,-18200487,-65182094,geobo
1273,Cochabamba,Mercado,MERCADO CENTRAL CAPINOTA,,,-17714267,-66262038,geobo
1274,Cochabamba,Mercado,MERCADO CENTRAL,,,-17723912,-66283844,geobo
1275,Cochabamba,Mercado,MERCADO IRPA IRPA,,,-17721716,-66287138,geobo
1276,Cochabamba,Mercado,MERCADO CORONEL GERMAN LEMA,,,-17550160,-66249214,geobo
1277,Cochabamba,Mercado,MERCADO ASOCIACION 13 DE JUNIO,,,-16996032,-65153058,geobo
1278,Cochabamba,Mercado,MERCADO CAMPESINO,,,-16994898,-65150180,geobo
1279,Cochabamba,Mercado,MERCADO CENTRAL DE CHIMORE,,,-16994751,-65149850,geobo
1280,Cochabamba,Mercado,MERCADO DE FRUTAS CHIMORE,,,-16996085,-65151573,geobo
1281,Cochabamba,Mercado,MERCADO GREMELISTAS  CHIMORE,,,-16996078,-65152058,geobo
1282,Cochabamba,Mercado,MERCADO DE LA ZOna,,,-17204348,-64532480,geobo
1283,Cochabamba,Mercado,MERCADO ENTRE RIOS,,,-17198678,-64538016,geobo
1284,Cochabamba,Mercado,MERCADO NUEVO,,,-17195974,-64534470,geobo
1285,Cochabamba,Mercado,MERCADO 14 DE SEPTIEMBRE,,,-17032905,-64860856,geobo
1286,Cochabamba,Mercado,MERCADO 15 DE ABRIL,,,-17037919,-64863372,geobo
1287,Cochabamba,Mercado,MERCADO CENTRAL 27 DE MAYO,,,-17033594,-64860132,geobo
1288,Cochabamba,Mercado,MERCADO DE COCA,,,-17041717,-64861130,geobo
1289,Cochabamba,Mercado,MERCADO PRIMARIO DE COCA,,,-17032752,-64860202,geobo
1290,Cochabamba,Mercado,MERCADO PUERTO VILLARROEL,,,-16839107,-64794150,geobo
1291,Cochabamba,Mercado,ANTIGUO MERCADO CAMPESINO LAGUna ALALAY,,,-17400400,-66142597,geobo
1292,Cochabamba,Mercado,MEGA MERCADO DE FRUTAS,,,-17400428,-66143305,geobo
1293,Cochabamba,Mercado,MERCADO,,,-17446730,-66115624,geobo
1294,Cochabamba,Mercado,MERCADO 10 DE FEBRERO,,,-17440041,-66116183,geobo
1295,Cochabamba,Mercado,MERCADO 10 DE FEBRERO,,,-17360889,-66182980,geobo
1296,Cochabamba,Mercado,MERCADO 12 DE JULIO LOMAS DE SANTA BARBARA,,,-17462301,-66105928,geobo
1297,Cochabamba,Mercado,MERCADO 1RO DE MARZO,,,-17394903,-66154826,geobo
1298,Cochabamba,Mercado,MERCADO 20 DE FEBRERO,,,-17419201,-66144285,geobo
1299,Cochabamba,Mercado,MERCADO 20 DE OCTUBRE,,,-17490089,-66177713,geobo
1300,Cochabamba,Mercado,MERCADO 25 DE MAYO,,,-17401180,-66153924,geobo
1301,Cochabamba,Mercado,MERCADO 25 DE MAYO,,,-17394938,-66155352,geobo
1302,Cochabamba,Mercado,MERCADO 25 DE MAYO -A,,,-17394676,-66154392,geobo
1303,Cochabamba,Mercado,MERCADO 25 DE MAYO B,,,-17394703,-66154863,geobo
